Product Id,Product Handle,Product Title,Product Status,Product Thumbnail,Product Sales Channel 1,Variant Id
prod_01KJ2VP29FBSE4E0X90JNW62NB,neon-flex-led-blanc-chaud-12v-ruban-flexible-6x12mm-ip67-ambiance-chaleureuse,Néon Flex LED Blanc Chaud 12V - Ruban Flexible 6x12mm (IP67) - Ambiance Chaleureuse,published,http://localhost:9000/static/1771805042278-Neon_Flex_White-12V.png,sc_01K7D6J88YHZWJZPADM83Q3FGR,variant_01KJ2VP2BPXP2BYHDJZWBZ6KDC
prod_01KJ2VQZC3HDSWYR39BGNBYNCT,neon-flex-led-blanc-froid-12v-ruban-flexible-6x12mm-ip67-haute-luminosite,Néon Flex LED Blanc Froid 12V - Ruban Flexible 6x12mm (IP67) - Haute Luminosité,published,http://localhost:9000/static/1771805063802-Neon_Flex_White-12V.png,sc_01K7D6J88YHZWJZPADM83Q3FGR,variant_01KJ2VQZE4YHWTY8WW0RJ6WNWN
prod_01KJV3XGRFBWG256N6Q9KWV698,ruban-led-smd-2835-120-ledm-12v-5m-pink,Ruban LED SMD 2835 – 120 LED/m – 12V - 5m - Pink,published,http://localhost:9000/static/1772584092303-862a1.webp,sc_01K7D6J88YHZWJZPADM83Q3FGR,variant_01KJV3XH03MSVTC70B1KXZDGTD
prod_01KJV3ZZ2SQZTD7DEE1VV0QVNT,ruban-led-smd-2835-120-ledm-12v-5m-vert,Ruban LED SMD 2835 – 120 LED/m – 12V - 5m - Vert,published,http://localhost:9000/static/1772584172588-851a1.webp,sc_01K7D6J88YHZWJZPADM83Q3FGR,variant_01KJV3ZZ5W89H4E34ENGBEDPAF
